Plato,Alimento: Carne,Ingredientes Carne,Alimento: Verduras,Ingredientes Verdura,Mercaderia,Ingredientes Mercaderia,Imagen
Croquetas con Fideos,Croquetas (1.5 Kg.) (https://app.notion.com/p/Croquetas-1-5-Kg-352e39f41359803fbe3cc5256a80d9c8?pvs=21),1.5 Kg. Molida Especial,,,Fideos Tallarin  (2 Uni.) (https://app.notion.com/p/Fideos-Tallarin-2-Uni-344e39f41359803faa08cc8d008b5636?pvs=21),2 Uni. Fideos Tallarin,
Croquetas con Fideos Secos,Croquetas (1.5 Kg.) (https://app.notion.com/p/Croquetas-1-5-Kg-352e39f41359803fbe3cc5256a80d9c8?pvs=21),1.5 Kg. Molida Especial,,,Fideos Secos (https://app.notion.com/p/Fideos-Secos-352e39f413598002a606cb717939029a?pvs=21),1 Uni. Nido de Spaghetti | 0.3 Kg. Cebolla Blanca,
Croquetas con Papas al Horno,Croquetas (1.5 Kg.) (https://app.notion.com/p/Croquetas-1-5-Kg-352e39f41359803fbe3cc5256a80d9c8?pvs=21),1.5 Kg. Molida Especial,Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21),1 Kg. Papa,,,carne-al-horno-1096419.jpeg
Croquetas con Pure de Papa,Croquetas (1.5 Kg.) (https://app.notion.com/p/Croquetas-1-5-Kg-352e39f41359803fbe3cc5256a80d9c8?pvs=21),1.5 Kg. Molida Especial,Pure de Papa (2 Kg.) (https://app.notion.com/p/Pure-de-Papa-2-Kg-341e39f4135980edbc59ce5f4b30e014?pvs=21),2 Kg. Papa,,,milanesas-pure-ig-1-819x1024.webp
Croquetas con Tomate y Lechuga,Croquetas (1.5 Kg.) (https://app.notion.com/p/Croquetas-1-5-Kg-352e39f41359803fbe3cc5256a80d9c8?pvs=21),1.5 Kg. Molida Especial,Tomate (1 Uni.) (https://app.notion.com/p/Tomate-1-Uni-352e39f4135980dbb386da1f3304d4cb?pvs=21),1 Uni. Tomate,,,
Croquetas con Tortilla de Papa y Acelga,Croquetas (1.5 Kg.) (https://app.notion.com/p/Croquetas-1-5-Kg-352e39f41359803fbe3cc5256a80d9c8?pvs=21),1.5 Kg. Molida Especial,"Tortilla de Acelga (https://app.notion.com/p/Tortilla-de-Acelga-352e39f4135980e3bb18cef0aee3fc2c?pvs=21), Tortilla de Papa (https://app.notion.com/p/Tortilla-de-Papa-352e39f4135980adb791ef7bdfa3abc0?pvs=21)",2 Atados Acelga | 4 Uni. Huevo | 0.3 Kg. Cebolla Blanca | 2 Kg. Papa | 4 Uni. Huevo | 0.3 Kg. Cebolla Blanca,,,
Empanadas de Acelga,,,"Acelga (2 Atados) (https://app.notion.com/p/Acelga-2-Atados-352e39f413598051bcc9ff4cf25c1ad7?pvs=21), Cebolla (250 Gr.) (https://app.notion.com/p/Cebolla-250-Gr-352e39f413598072b684d54cf12908bc?pvs=21)",2 Atados Acelga | 0.25 Kg. Cebolla Blanca,"Huevos Cocidos (6 Uni.) (https://app.notion.com/p/Huevos-Cocidos-6-Uni-352e39f41359802aae46c35107a71d64?pvs=21), Paleta (150 Gr.) (https://app.notion.com/p/Paleta-150-Gr-352e39f4135980679244c5452b8c28bd?pvs=21), Queso Mantecoso (500 Gr.) (https://app.notion.com/p/Queso-Mantecoso-500-Gr-352e39f4135980719185f68165e28f31?pvs=21), Masa de Empanadas de Acelga (https://app.notion.com/p/Masa-de-Empanadas-de-Acelga-352e39f41359801c8056fecb51222faa?pvs=21)",6 Uni. Huevo | 150 Gr. Paleta | 0.5 Kg. Queso Mantecoso | 1 Kg. Harina 000,
Empanadas de Carne,Relleno de Empanadas Criollas (https://app.notion.com/p/Relleno-de-Empanadas-Criollas-352e39f413598087b91fd6e201d4b7a0?pvs=21),1 Kg. Molida Especial | 2 Kg. Cebolla Blanca | 2 Uni. Pimiento Rojo,,,"Huevos Cocidos (6 Uni.) (https://app.notion.com/p/Huevos-Cocidos-6-Uni-352e39f41359802aae46c35107a71d64?pvs=21), Masa de Empanadas (https://app.notion.com/p/Masa-de-Empanadas-352e39f4135980558df6e80909082310?pvs=21), Aceitunas (150 Gr.) (https://app.notion.com/p/Aceitunas-150-Gr-352e39f4135980fda6e6eaa92909c24f?pvs=21)",6 Uni. Huevo | 1.5 Kg. Harina 000 | 0.3 Kg. Grasa Bovina | 150 Gr. Aceitunas Verdes,
Ensalada de Fideos,Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21),2 Uni. Pechuga de Pollo,Lechuga (https://app.notion.com/p/Lechuga-352e39f413598093b1b5c933a26f927f?pvs=21),1 Uni. Lechuga,"Fideos Tirabuson (1 Uni.) (https://app.notion.com/p/Fideos-Tirabuson-1-Uni-353e39f4135980e7bbdfce642a47200b?pvs=21), Choclo Congelado (1 Uni.) (https://app.notion.com/p/Choclo-Congelado-1-Uni-352e39f4135980c38914e4c9c99f2717?pvs=21), Lata de Arvejas (1 Uni.) (https://app.notion.com/p/Lata-de-Arvejas-1-Uni-352e39f4135980c89bc2d0b1210673ac?pvs=21), Aceitunas (150 Gr.) (https://app.notion.com/p/Aceitunas-150-Gr-352e39f4135980fda6e6eaa92909c24f?pvs=21), Paquete de Garvanzos (1 Uni.) (https://app.notion.com/p/Paquete-de-Garvanzos-1-Uni-353e39f413598037a721fd499c65a179?pvs=21)",1 Uni. Fideos Tirabuzon | 1 Uni. Choclo Congelado | 1 Uni. Arvejas | 150 Gr. Aceitunas Verdes | 1 Uni. Garvanzos,
Escalopes con Fideos Codito,Escalopes (1.5 Kg.) (https://app.notion.com/p/Escalopes-1-5-Kg-353e39f4135980be86dac63b85bba049?pvs=21),1.5 Kg. Bife de Nalga,,,"Fideos Coditos (1 Uni.) (https://app.notion.com/p/Fideos-Coditos-1-Uni-344e39f41359805e8ba7c075f7fe975a?pvs=21), Masa de Panqueques (https://app.notion.com/p/Masa-de-Panqueques-352e39f4135980ed9a23e54107fa2684?pvs=21)",1 Uni. Fideos Coditos | 1 Uni. Huevo | 0.75 Kg. Harina 000,
Fideos con Salsa y Bifes de Carne,Bifes de Carne (750 Gr.) (https://app.notion.com/p/Bifes-de-Carne-750-Gr-353e39f413598084a561ea54a1b8a00b?pvs=21),0.75 Kg. Bife de Nalga,,,"Fideos Tallarin  (2 Uni.) (https://app.notion.com/p/Fideos-Tallarin-2-Uni-344e39f41359803faa08cc8d008b5636?pvs=21), Salsa para Fideos (https://app.notion.com/p/Salsa-para-Fideos-344e39f4135980a98056e5b336efb2e1?pvs=21), Queso Rayado  (2 Uni.) (https://app.notion.com/p/Queso-Rayado-2-Uni-352e39f413598076a4c9c6475964df79?pvs=21)",2 Uni. Fideos Tallarin | 2 Uni. Pure de Tomate | 3 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo | 2 Uni. Queso Rayado,
Fideos con Salsa y Molida,Carne Molida (500 Gr.) (https://app.notion.com/p/Carne-Molida-500-Gr-344e39f4135980cc85e0d6ebf641a4d4?pvs=21),0.5 Kg. Molida Especial,,,"Salsa para Fideos (https://app.notion.com/p/Salsa-para-Fideos-344e39f4135980a98056e5b336efb2e1?pvs=21), Fideos Tallarin  (2 Uni.) (https://app.notion.com/p/Fideos-Tallarin-2-Uni-344e39f41359803faa08cc8d008b5636?pvs=21), Queso Rayado  (2 Uni.) (https://app.notion.com/p/Queso-Rayado-2-Uni-352e39f413598076a4c9c6475964df79?pvs=21)",2 Uni. Pure de Tomate | 3 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo | 2 Uni. Fideos Tallarin | 2 Uni. Queso Rayado,SpaghettiForFour_592_cc.jpg
Guiso de Carne con Arroz,Bifes de Carne (750 Gr.) (https://app.notion.com/p/Bifes-de-Carne-750-Gr-353e39f413598084a561ea54a1b8a00b?pvs=21),0.75 Kg. Bife de Nalga,"Cebolla (250 Gr.) (https://app.notion.com/p/Cebolla-250-Gr-352e39f413598072b684d54cf12908bc?pvs=21), Pimiento Rojo (1 Uni.) (https://app.notion.com/p/Pimiento-Rojo-1-Uni-344e39f41359805b91f1e776ad5298d7?pvs=21), Tomate (2 Uni.) (https://app.notion.com/p/Tomate-2-Uni-352e39f4135980b4bd58f22fbe70dcc0?pvs=21), Papa (300 Gr.) (https://app.notion.com/p/Papa-300-Gr-353e39f4135980e0ad49f9e1bd01d6a9?pvs=21), Zanahoria (250 Gr.) (https://app.notion.com/p/Zanahoria-250-Gr-353e39f41359809e8a9ced7b7de4379e?pvs=21), Pimiento Verde  (1 Uni.) (https://app.notion.com/p/Pimiento-Verde-1-Uni-344e39f41359807cb16dfc5bb843e45f?pvs=21)",0.25 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo | 2 Uni. Tomate | 0.3 Kg. Papa | 0.25 Kg. Zanahoria | 1 Uni. Pimiento Verde,"Caja de Pure de Tomates (1 Uni.) (https://app.notion.com/p/Caja-de-Pure-de-Tomates-1-Uni-352e39f41359805cae49c97e293299ea?pvs=21), Arroz Amarillo (https://app.notion.com/p/Arroz-Amarillo-352e39f413598039b505d9e372f38359?pvs=21)",1 Uni. Pure de Tomate | 1 Kg. Arroz | 0.3 Kg. Cebolla Blanca,
Guiso de Carne con Fideo Moñito,Bifes de Carne (750 Gr.) (https://app.notion.com/p/Bifes-de-Carne-750-Gr-353e39f413598084a561ea54a1b8a00b?pvs=21),0.75 Kg. Bife de Nalga,"Cebolla (250 Gr.) (https://app.notion.com/p/Cebolla-250-Gr-352e39f413598072b684d54cf12908bc?pvs=21), Pimiento Rojo (1 Uni.) (https://app.notion.com/p/Pimiento-Rojo-1-Uni-344e39f41359805b91f1e776ad5298d7?pvs=21), Tomate (2 Uni.) (https://app.notion.com/p/Tomate-2-Uni-352e39f4135980b4bd58f22fbe70dcc0?pvs=21), Pimiento Verde  (1 Uni.) (https://app.notion.com/p/Pimiento-Verde-1-Uni-344e39f41359807cb16dfc5bb843e45f?pvs=21), Papa (300 Gr.) (https://app.notion.com/p/Papa-300-Gr-353e39f4135980e0ad49f9e1bd01d6a9?pvs=21), Zanahoria (250 Gr.) (https://app.notion.com/p/Zanahoria-250-Gr-353e39f41359809e8a9ced7b7de4379e?pvs=21)",0.25 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo | 2 Uni. Tomate | 1 Uni. Pimiento Verde | 0.3 Kg. Papa | 0.25 Kg. Zanahoria,"Caja de Pure de Tomates (1 Uni.) (https://app.notion.com/p/Caja-de-Pure-de-Tomates-1-Uni-352e39f41359805cae49c97e293299ea?pvs=21), Fideos Moñito (1 Uni.) (https://app.notion.com/p/Fideos-Mo-ito-1-Uni-352e39f4135980c988d4c6e46a5e909a?pvs=21)",1 Uni. Pure de Tomate | 1 Uni. Fideos Moñito,
Guiso de Pollo con Arroz,Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21),2 Uni. Pechuga de Pollo,"Cebolla (250 Gr.) (https://app.notion.com/p/Cebolla-250-Gr-352e39f413598072b684d54cf12908bc?pvs=21), Pimiento Rojo (1 Uni.) (https://app.notion.com/p/Pimiento-Rojo-1-Uni-344e39f41359805b91f1e776ad5298d7?pvs=21), Tomate (2 Uni.) (https://app.notion.com/p/Tomate-2-Uni-352e39f4135980b4bd58f22fbe70dcc0?pvs=21), Papa (300 Gr.) (https://app.notion.com/p/Papa-300-Gr-353e39f4135980e0ad49f9e1bd01d6a9?pvs=21), Zanahoria (250 Gr.) (https://app.notion.com/p/Zanahoria-250-Gr-353e39f41359809e8a9ced7b7de4379e?pvs=21), Pimiento Verde  (1 Uni.) (https://app.notion.com/p/Pimiento-Verde-1-Uni-344e39f41359807cb16dfc5bb843e45f?pvs=21)",0.25 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo | 2 Uni. Tomate | 0.3 Kg. Papa | 0.25 Kg. Zanahoria | 1 Uni. Pimiento Verde,"Caja de Pure de Tomates (1 Uni.) (https://app.notion.com/p/Caja-de-Pure-de-Tomates-1-Uni-352e39f41359805cae49c97e293299ea?pvs=21), Arroz Amarillo (https://app.notion.com/p/Arroz-Amarillo-352e39f413598039b505d9e372f38359?pvs=21)",1 Uni. Pure de Tomate | 1 Kg. Arroz | 0.3 Kg. Cebolla Blanca,
Guiso de Pollo con Fideo Moñito,Pechuga de Pollo (2 Uni.) (https://app.notion.com/p/Pechuga-de-Pollo-2-Uni-344e39f41359806896aac84ddcc34369?pvs=21),2 Uni. Pechuga de Pollo,"Cebolla (250 Gr.) (https://app.notion.com/p/Cebolla-250-Gr-352e39f413598072b684d54cf12908bc?pvs=21), Pimiento Rojo (1 Uni.) (https://app.notion.com/p/Pimiento-Rojo-1-Uni-344e39f41359805b91f1e776ad5298d7?pvs=21), Tomate (2 Uni.) (https://app.notion.com/p/Tomate-2-Uni-352e39f4135980b4bd58f22fbe70dcc0?pvs=21), Papa (300 Gr.) (https://app.notion.com/p/Papa-300-Gr-353e39f4135980e0ad49f9e1bd01d6a9?pvs=21), Pimiento Verde  (1 Uni.) (https://app.notion.com/p/Pimiento-Verde-1-Uni-344e39f41359807cb16dfc5bb843e45f?pvs=21), Zanahoria (250 Gr.) (https://app.notion.com/p/Zanahoria-250-Gr-353e39f41359809e8a9ced7b7de4379e?pvs=21)",0.25 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo | 2 Uni. Tomate | 0.3 Kg. Papa | 1 Uni. Pimiento Verde | 0.25 Kg. Zanahoria,"Caja de Pure de Tomates (1 Uni.) (https://app.notion.com/p/Caja-de-Pure-de-Tomates-1-Uni-352e39f41359805cae49c97e293299ea?pvs=21), Fideos Moñito (1 Uni.) (https://app.notion.com/p/Fideos-Mo-ito-1-Uni-352e39f4135980c988d4c6e46a5e909a?pvs=21)",1 Uni. Pure de Tomate | 1 Uni. Fideos Moñito,
Lasaña,Carne Molida (500 Gr.) (https://app.notion.com/p/Carne-Molida-500-Gr-344e39f4135980cc85e0d6ebf641a4d4?pvs=21),0.5 Kg. Molida Especial,,,"Masa de Panqueques (https://app.notion.com/p/Masa-de-Panqueques-352e39f4135980ed9a23e54107fa2684?pvs=21), Queso Mantecoso (500 Gr.) (https://app.notion.com/p/Queso-Mantecoso-500-Gr-352e39f4135980719185f68165e28f31?pvs=21), Salsa para Fideos (https://app.notion.com/p/Salsa-para-Fideos-344e39f4135980a98056e5b336efb2e1?pvs=21)",1 Uni. Huevo | 0.75 Kg. Harina 000 | 0.5 Kg. Queso Mantecoso | 2 Uni. Pure de Tomate | 3 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo,
Locro (Porotos),"Chorizos (3 Uni.) (https://app.notion.com/p/Chorizos-3-Uni-352e39f41359801b8840c11bd6812608?pvs=21), Bifes de Carne (750 Gr.) (https://app.notion.com/p/Bifes-de-Carne-750-Gr-353e39f413598084a561ea54a1b8a00b?pvs=21)",3 Uni. Chorizos | 0.75 Kg. Bife de Nalga,"Pimiento Rojo (1 Uni.) (https://app.notion.com/p/Pimiento-Rojo-1-Uni-344e39f41359805b91f1e776ad5298d7?pvs=21), Cebolla (250 Gr.) (https://app.notion.com/p/Cebolla-250-Gr-352e39f413598072b684d54cf12908bc?pvs=21), Zapallo (1/4) (https://app.notion.com/p/Zapallo-1-4-352e39f4135980f09e51f0283dd3ab86?pvs=21)",1 Uni. Pimiento Rojo | 0.25 Kg. Cebolla Blanca | 1 Cuarto Zapallo,"Maiz Blanco (1 Uni.) (https://app.notion.com/p/Maiz-Blanco-1-Uni-352e39f413598044b81eec7b85c3c4a0?pvs=21), Paquete de Porotos Blancos (1 Uni.) (https://app.notion.com/p/Paquete-de-Porotos-Blancos-1-Uni-352e39f4135980438f70d03c70dd7146?pvs=21), Panceta (200 Gr.) (https://app.notion.com/p/Panceta-200-Gr-352e39f413598058ba9efcc0c7906cc0?pvs=21)",1 Uni. Maiz Blanco | 1 Uni. Porotos | 200 Gr. Panceta,
Lomo de Cerdo Adobado con Papas al Horno,Lomo de Cerdo (2 Kg.) (https://app.notion.com/p/Lomo-de-Cerdo-2-Kg-341e39f4135980abb69cede9773a0897?pvs=21),2 Kg. Lomo de Cerdo,Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21),1 Kg. Papa,"Salsa de Soja (1 Uni.) (https://app.notion.com/p/Salsa-de-Soja-1-Uni-352e39f413598017ab65e07876faa018?pvs=21), Ketchup (1 Uni.) (https://app.notion.com/p/Ketchup-1-Uni-352e39f41359809982bde43ff71dcf5f?pvs=21), Mostaza (1 Uni.) (https://app.notion.com/p/Mostaza-1-Uni-352e39f4135980589cf3e58a4b31b197?pvs=21), Tomillo (20 Gr.) (https://app.notion.com/p/Tomillo-20-Gr-352e39f41359805e869de2d857385291?pvs=21), Pimienton en Polvo (20 Gr.) (https://app.notion.com/p/Pimienton-en-Polvo-20-Gr-352e39f4135980908c91d97eca71ae36?pvs=21)",1 Uni. Salsa de Soja | 1 Uni. Ketchup Chica | 1 Uni. Mostaza Chica | 20 Gr. Tomillo | 20 Gr. Pimienton Rojo (Dulce),
Lomo de Cerdo con Arroz,Lomo de Cerdo (2 Kg.) (https://app.notion.com/p/Lomo-de-Cerdo-2-Kg-341e39f4135980abb69cede9773a0897?pvs=21),2 Kg. Lomo de Cerdo,,,Arroz Blanco (https://app.notion.com/p/Arroz-Blanco-344e39f413598006bcc0ce9cfa1d7a22?pvs=21),1 Kg. Arroz | 0.3 Kg. Cebolla Blanca,
Lomo de Cerdo con Ensalada de Papa y Zanahoria,Lomo de Cerdo (2 Kg.) (https://app.notion.com/p/Lomo-de-Cerdo-2-Kg-341e39f4135980abb69cede9773a0897?pvs=21),2 Kg. Lomo de Cerdo,"Ensalada de Papa (https://app.notion.com/p/Ensalada-de-Papa-352e39f41359801aa6aed3898abb7f45?pvs=21), Ensalada de Zanahoria (https://app.notion.com/p/Ensalada-de-Zanahoria-352e39f4135980b5988dc1864321ad8f?pvs=21)",1.5 Kg. Papa | 1 Kg. Zanahoria,,,
Lomo de Cerdo con Fideos,Lomo de Cerdo (2 Kg.) (https://app.notion.com/p/Lomo-de-Cerdo-2-Kg-341e39f4135980abb69cede9773a0897?pvs=21),2 Kg. Lomo de Cerdo,,,Fideos Tallarin  (2 Uni.) (https://app.notion.com/p/Fideos-Tallarin-2-Uni-344e39f41359803faa08cc8d008b5636?pvs=21),2 Uni. Fideos Tallarin,
Lomo de Cerdo con Fideos Secos,Lomo de Cerdo (2 Kg.) (https://app.notion.com/p/Lomo-de-Cerdo-2-Kg-341e39f4135980abb69cede9773a0897?pvs=21),2 Kg. Lomo de Cerdo,,,Fideos Secos (https://app.notion.com/p/Fideos-Secos-352e39f413598002a606cb717939029a?pvs=21),1 Uni. Nido de Spaghetti | 0.3 Kg. Cebolla Blanca,
Lomo de Cerdo con Papa y Zanahoria,Lomo de Cerdo (2 Kg.) (https://app.notion.com/p/Lomo-de-Cerdo-2-Kg-341e39f4135980abb69cede9773a0897?pvs=21),2 Kg. Lomo de Cerdo,"Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21), Zanahoria (750 Gr.) (https://app.notion.com/p/Zanahoria-750-Gr-341e39f41359808ca9c2e78448369a8e?pvs=21)",1 Kg. Papa | 0.75 Kg. Zanahoria,,,
Lomo de Cerdo con Pure,Lomo de Cerdo (2 Kg.) (https://app.notion.com/p/Lomo-de-Cerdo-2-Kg-341e39f4135980abb69cede9773a0897?pvs=21),2 Kg. Lomo de Cerdo,"Zanahoria (750 Gr.) (https://app.notion.com/p/Zanahoria-750-Gr-341e39f41359808ca9c2e78448369a8e?pvs=21), Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21)",0.75 Kg. Zanahoria | 1 Kg. Papa,,,
Lomo de Cerdo con Verduras,Lomo de Cerdo (2 Kg.) (https://app.notion.com/p/Lomo-de-Cerdo-2-Kg-341e39f4135980abb69cede9773a0897?pvs=21),2 Kg. Lomo de Cerdo,"Zanahoria (750 Gr.) (https://app.notion.com/p/Zanahoria-750-Gr-341e39f41359808ca9c2e78448369a8e?pvs=21), Pimiento Verde (3 Uni.) (https://app.notion.com/p/Pimiento-Verde-3-Uni-341e39f41359807f9eaad3f8a7e301e1?pvs=21), Pimiento Rojo (3 Uni) (https://app.notion.com/p/Pimiento-Rojo-3-Uni-341e39f41359806bacf4fbf6b17a4d3d?pvs=21), Papa (1 Kg.) (https://app.notion.com/p/Papa-1-Kg-341e39f4135980829308c5d0bd7cefff?pvs=21), Cebolla (1 Kg.) (https://app.notion.com/p/Cebolla-1-Kg-352e39f413598017b742eea72d7cf7ce?pvs=21)",0.75 Kg. Zanahoria | 3 Uni. Pimiento Verde | 3 Uni. Pimiento Rojo | 1 Kg. Papa | 1 Kg. Cebolla Blanca,,,8c04a84182d3-diapdre-home-t.jpg
Matambre de Carne a la Pizza,Matambre de Cerdo  (2 Kg.) (https://app.notion.com/p/Matambre-de-Cerdo-2-Kg-352e39f4135980828e59c69fcf92075e?pvs=21),2 Kg. Matambre de Cerdo,Pimiento Rojo (1 Uni.) (https://app.notion.com/p/Pimiento-Rojo-1-Uni-344e39f41359805b91f1e776ad5298d7?pvs=21),1 Uni. Pimiento Rojo,"Salsa para Fideos (https://app.notion.com/p/Salsa-para-Fideos-344e39f4135980a98056e5b336efb2e1?pvs=21), Paleta (150 Gr.) (https://app.notion.com/p/Paleta-150-Gr-352e39f4135980679244c5452b8c28bd?pvs=21), Queso Mantecoso (500 Gr.) (https://app.notion.com/p/Queso-Mantecoso-500-Gr-352e39f4135980719185f68165e28f31?pvs=21)",2 Uni. Pure de Tomate | 3 Kg. Cebolla Blanca | 1 Uni. Pimiento Rojo | 150 Gr. Paleta | 0.5 Kg. Queso Mantecoso,
